subject,from_email,receivedDateTime,body_preview,body,company,status,label,processed_body
Interview Invitation from Amazon,no-reply@amazon.jobs,2024-11-12T08:30:00Z,We are pleased to invite you for an interview for the Software Engineer position...,"Dear Alec-Nesat, We reviewed your application and are excited to invite you to the next stage of the hiring process at Amazon. Your interview for the Software Engineer position is scheduled for...",Amazon,Interviewing,1,Dear Alec Nesat review application excited invite stage hiring process Amazon interview Software Engineer position schedule
Application Update from Google,careers@google.com,2024-11-10T14:20:45Z,Thank you for your interest in joining Google. We have carefully reviewed your application...,"Hello Alec-Nesat, After careful consideration, we regret to inform you that we have decided to pursue other candidates for the Software Engineer position. We encourage you to apply to other roles that may suit your skills and experience. Best wishes, Google Careers Team.",Google,Rejected,1,hello Alec Nesat careful consideration regret inform decide pursue candidate Software Engineer position encourage apply role suit skill experience good wish Google Careers Team
Thank you for applying to Netflix,jobs@netflix.com,2024-11-08T11:15:00Z,Thank you for your application! We will be in touch if your profile matches our requirements...,"Hi Alec-Nesat, Thank you for applying to Netflix! We have received your application for the Software Engineering Internship. Our hiring team is currently reviewing your qualifications and will reach out if there's a fit...",Netflix,Pending,1,hi Alec Nesat thank apply Netflix receive application Software Engineering Internship hiring team currently review qualification reach fit
Online Assessment Invitation from Microsoft,assessment@msft.com,2024-11-15T10:00:00Z,Please complete the online assessment for the Data Analyst position within 7 days...,"Dear Alec-Nesat, Congratulations! You have been selected to complete an online assessment for the Data Analyst role at Microsoft. This assessment is an important part of our hiring process and should be completed within 7 days...",Microsoft,Online Assessment,1,Dear Alec Nesat Congratulations select complete online assessment Data Analyst role Microsoft assessment important hiring process complete 7 day
Offer from Tesla for Data Engineer Role,careers@tesla.com,2024-11-18T09:00:00Z,We are excited to extend an offer to join Tesla as a Data Engineer...,"Dear Alec-Nesat, Congratulations! We are thrilled to offer you a position as a Data Engineer at Tesla. Please review the attached offer letter and let us know if you have any questions...",Tesla,Offer Accepted,1,Dear Alec Nesat Congratulations thrilled offer position Data Engineer Tesla review attach offer letter let know question
Weekly Tech Insights Newsletter,newsletter@techinsights.com,2024-11-01T07:45:00Z,Here's your latest edition of Tech Insights with updates from around the tech world...,"Hello Subscriber, Welcome to this week’s Tech Insights! In this issue, we cover the latest trends and innovations...",Tech Insights,,0,hello Subscriber welcome week Tech Insights issue cover late trend innovation
New Event Invitation: AI Conference 2024,events@aiconference.com,2024-10-29T15:30:00Z,Join us for AI Conference 2024 to learn about the latest in artificial intelligence and machine learning...,"Dear Alec-Nesat, We are excited to invite you to the upcoming AI Conference 2024! Register now to reserve your spot...",AI Conference,,0,Dear Alec Nesat excited invite upcoming AI Conference 2024 Register reserve spot
Your Monthly Bank Statement,support@yourbank.com,2024-10-25T18:10:00Z,Your October statement is now available for viewing...,"Dear Alec-Nesat, Your bank statement for the month of October is ready. Please log in to your account to view the details...",Your Bank,,0,Dear Alec Nesat bank statement month October ready log account view detail
Thank you for applying to Stripe!,no-reply@careers.stripe.com,2024-11-08T16:43:10Z,"Hi Alec-Nesat, Thank you so much for your application and interest in Stripe.","Hi Alec-Nesat, Thank you so much for your application and interest in Stripe. We received applications from many qualified candidates and unfortunately are going in a direction that better fits our needs at this time. That said, things are constantly evolving at Stripe, and there could be a fit for you down the road. We encourage you to keep an eye on our jobs page for future opportunities. Thanks again and we wish you the best in your search! Kindly, Stripe Recruiting.",,Rejected,1,hi Alec Nesat thank application interest Stripe receive application qualified candidate unfortunately go direction well fit need time say thing constantly evolve Stripe fit road encourage eye job page future opportunity thank wish good search kindly Stripe Recruiting
Thank you for your interest,walmart@myworkday.com,2024-10-20T14:25:12Z,"Hi Alec-Nesat, Thank you for your interest.","Hi Alec-Nesat, Thank you for your interest. We appreciate the time you took to apply with us. At this time we have decided not to move forward with your application for our 2024 Summer Intern: Software Engineer II (Sam's Club) position. This isn't the end, though! If a position opens that closely matches your skills and experience, we may contact you as we have new positions that open all the time. We wish you all the best! Your Sam’s Club Hiring Team.",,Rejected,1,hi Alec Nesat thank interest appreciate time take apply time decide forward application 2024 Summer Intern Software Engineer II Sam Club position end position open closely match skill experience contact new position open time wish good Sam Club Hiring Team
Update about your application to Salesforce,salesforce@myworkday.com,2024-10-15T11:42:15Z,"Hi Alec-Nesat, Thank you for your interest in Salesforce.","Hi Alec-Nesat, Thank you for your interest in Salesforce. We understand the time and effort it takes to search for a new role and we greatly appreciate you applying. The Software Engineering AMTS/MTS (New Grad) position has been filled and the job opening is now closed. If you applied for multiple positions, your other applications may still be moving forward. You can check your application status at any time via the Candidate Home on Workday. Thanks again for considering Salesforce.",,Position Filled,Position Filled,hi Alec Nesat thank interest Salesforce understand time effort take search new role greatly appreciate apply Software Engineering AMTS MTS New Grad position fill job opening closed apply multiple position application move forward check application status time Candidate Home Workday thank consider Salesforce
Thank you for applying to ZipRecruiter,no-reply@ziprecruiter.com,2024-10-10T09:38:09Z,"Hi Alec-Nesat, Thank you for your interest in our Software Engineer - New Grad role.","Hi Alec-Nesat, Thank you for your interest in our Software Engineer - New Grad role. We really appreciate the time you took to consider an opportunity with us. After reviewing your application, we have decided not to move you forward for the Software Engineer - New Grad position at this time. We encourage you to check out more of our openings at www.ziprecruiter.com/careers.",,Rejected,1,hi Alec Nesat thank interest Software Engineer New Grad role appreciate time take consider opportunity review application decide forward Software Engineer New Grad position time encourage check opening www.ziprecruiter.com/careers
Follow-up on your application to Epsilon Systems,no-reply@epsilonsystems.com,2024-09-30T08:22:45Z,"Dear Alec-Nesat, You are receiving this email because you expressed interest in, and applied to...","Dear Alec-Nesat, You are receiving this email because you expressed interest in, and applied to the Software Engineer Intern (CEC) opportunity on our CEC Program in Largo FL. We have received overwhelming interest and as we approach the end of 2024, we are refreshing all of our program requisitions, so that we can start our next round of interviews. If you are still interested in being considered, please check our careers page and complete an application for the newly posted internship opportunities.",,Pending,1,Dear Alec Nesat receive email express interest apply Software Engineer Intern CEC opportunity CEC Program Largo FL receive overwhelming interest approach end 2024 refresh program requisition start round interview interested consider check career page complete application newly post internship opportunity
ZipRecruiter Pre-Screen Reminder,no-reply@codesignal.com,2024-09-17T20:00:00Z,Hi Alec-Nesat Colak! This is one last reminder! Your last day to complete the ZipRecruiter Pre-Screen...,"Hi Alec-Nesat Colak! This is one last reminder! Your last day to complete the ZipRecruiter Pre-Screen requested by ZipRecruiter is at 2:32pm PDT on Wednesday, September 18th. After you create a CodeSignal account, you will have access to a practice environment where you can explore CodeSignal’s IDE and different types of questions before your assessment.",,Pre-Screen,1,hi Alec Nesat Colak reminder day complete ZipRecruiter Pre Screen request ZipRecruiter 2:32pm PDT Wednesday September 18th create CodeSignal account access practice environment explore CodeSignal IDE different type question assessment
Regarding your application to MLH Fellowship,fellowship@mlh.io,2024-08-30T15:00:00Z,"Hey, there -- Thank you for taking the time to apply for the MLH Fellowship Program. Unfortunately...","Hey, there -- Thank you for taking the time to apply for the MLH Fellowship Program. Unfortunately, after careful review, we have decided not to proceed with your application. We hope that you'll apply again for a future batch with an even stronger application!",,Rejected,1,hey thank take time apply MLH Fellowship Program unfortunately careful review decide proceed application hope apply future batch strong application
Your Year Up Eligibility,jfowler@yearup.org,2024-09-15T10:00:00Z,"Dear Alec-Nesat, Thank you for your interest in the Year Up program. We have received your application...","Dear Alec-Nesat, Thank you for your interest in the Year Up program. We have received your application and determined you are ineligible for the program. At this time, we have closed your application. To search for additional programs, we recommend this website sponsored by the US Department of Labor.",,Ineligible,1,Dear Alec Nesat thank interest Year program receive application determine ineligible program time close application search additional program recommend website sponsor Department Labor
Follow-up on your application to Signify Health,no-reply@us.greenhouse-mail.io,2024-10-02T11:00:00Z,"Alec-Nesat, Thank you for taking the time to apply to the Software Engineer role at Signify Health...","Alec-Nesat, Thank you for taking the time to apply to the Software Engineer role at Signify Health. We received many qualified candidates and have decided to move forward with another one that we feel is better suited to our current needs.",,Rejected,1,Alec Nesat thank take time apply Software Engineer role Signify Health receive qualified candidate decide forward feel well suited current need
Thank you for applying to OKX,no-reply@us.greenhouse-mail.io,2024-10-05T13:20:00Z,"Hi Alec-Nesat, Thanks for applying to OKX for the position Software Engineer, New Grad. We are pleased...","Hi Alec-Nesat, Thanks for applying to OKX for the position Software Engineer, New Grad. We are pleased to confirm we have received your application and will contact you soon if there is a fit.",,Received,1,hi Alec Nesat thank apply OKX position Software Engineer New Grad pleased confirm receive application contact soon fit
Application Confirmation from Signify Health,no-reply@us.greenhouse-mail.io,2024-10-06T09:30:00Z,"Alec-Nesat, Thanks for applying to Signify Health. Your application has been received...","Alec-Nesat, Thanks for applying to Signify Health. Your application has been received. Our team will follow up if there is a match for a phone screen.",,Received,1,Alec Nesat thank apply signify Health application receive team follow match phone screen
Thank you for applying to Year Up,applications@yearup.org,2024-09-05T15:00:00Z,"Hi Alec-Nesat, Thank you for your application to the Year Up program...","Hi Alec-Nesat, Thank you for your application to the Year Up program. We are currently reviewing applications and will notify you if you advance to the next stage.",,Pending,1,hi Alec Nesat thank application Year program currently review application notify advance stage
Interview Scheduled with Salesforce,recruiting@salesforce.com,2024-10-10T14:00:00Z,"Hi Alec-Nesat, We’re excited to invite you to an interview for the Software Engineering role...","Hi Alec-Nesat, We’re excited to invite you to an interview for the Software Engineering role at Salesforce. Please confirm your availability and review our interview preparation materials.",,Interviewing,1,hi Alec Nesat excited invite interview Software Engineering role Salesforce confirm availability review interview preparation material
Update on Your Application Status - Year Up,noreply@yearup.org,2024-10-15T08:00:00Z,"Dear Alec-Nesat, We are writing to inform you about your application to the Year Up program...","Dear Alec-Nesat, We are writing to inform you about your application to the Year Up program. Unfortunately, we are unable to move forward with your application at this time. We encourage you to reapply in the future.",,Rejected,1,Dear Alec Nesat write inform application Year program unfortunately unable forward application time encourage reapply future
Assessment Reminder from CodeSignal,no-reply@codesignal.com,2024-11-02T17:00:00Z,"Hi Alec-Nesat, This is a reminder to complete your assessment for the Software Engineer role...","Hi Alec-Nesat, This is a reminder to complete your assessment for the Software Engineer role. You can log into CodeSignal to complete it at your convenience before the deadline.",,Assessment,1,hi Alec Nesat reminder complete assessment Software Engineer role log CodeSignal complete convenience deadline
