subject,from_email,receivedDateTime,body_preview,body,company,status,label
Update about your application to Salesforce,salesforce@myworkday.com,2024-10-15T11:42:15Z,"Hi Alec-Nesat, Thank you for your interest in Salesforce.","Hi Alec-Nesat, Thank you for your interest in Salesforce. We understand the time and effort it takes to search for a new role and we greatly appreciate you applying. The Software Engineering AMTS/MTS (New Grad) position has been filled and the job opening is now closed. If you applied for multiple positions, your other applications may still be moving forward. You can check your application status at any time via the Candidate Home on Workday. Thanks again for considering Salesforce.",,Position Filled,Position Filled
Thank you for applying to ZipRecruiter,no-reply@ziprecruiter.com,2024-10-10T09:38:09Z,"Hi Alec-Nesat, Thank you for your interest in our Software Engineer - New Grad role.","Hi Alec-Nesat, Thank you for your interest in our Software Engineer - New Grad role. We really appreciate the time you took to consider an opportunity with us. After reviewing your application, we have decided not to move you forward for the Software Engineer - New Grad position at this time. We encourage you to check out more of our openings at www.ziprecruiter.com/careers.",,Rejected,1
Follow-up on your application to Epsilon Systems,no-reply@epsilonsystems.com,2024-09-30T08:22:45Z,"Dear Alec-Nesat, You are receiving this email because you expressed interest in, and applied to...","Dear Alec-Nesat, You are receiving this email because you expressed interest in, and applied to the Software Engineer Intern (CEC) opportunity on our CEC Program in Largo FL. We have received overwhelming interest and as we approach the end of 2024, we are refreshing all of our program requisitions, so that we can start our next round of interviews. If you are still interested in being considered, please check our careers page and complete an application for the newly posted internship opportunities.",,Pending,1
ZipRecruiter Pre-Screen Reminder,no-reply@codesignal.com,2024-09-17T20:00:00Z,Hi Alec-Nesat Colak! This is one last reminder! Your last day to complete the ZipRecruiter Pre-Screen...,"Hi Alec-Nesat Colak! This is one last reminder! Your last day to complete the ZipRecruiter Pre-Screen requested by ZipRecruiter is at 2:32pm PDT on Wednesday, September 18th. After you create a CodeSignal account, you will have access to a practice environment where you can explore CodeSignal’s IDE and different types of questions before your assessment.",,Pre-Screen,1
Regarding your application to MLH Fellowship,fellowship@mlh.io,2024-08-30T15:00:00Z,"Hey, there -- Thank you for taking the time to apply for the MLH Fellowship Program. Unfortunately...","Hey, there -- Thank you for taking the time to apply for the MLH Fellowship Program. Unfortunately, after careful review, we have decided not to proceed with your application. We hope that you'll apply again for a future batch with an even stronger application!",,Rejected,1
Your Year Up Eligibility,jfowler@yearup.org,2024-09-15T10:00:00Z,"Dear Alec-Nesat, Thank you for your interest in the Year Up program. We have received your application...","Dear Alec-Nesat, Thank you for your interest in the Year Up program. We have received your application and determined you are ineligible for the program. At this time, we have closed your application. To search for additional programs, we recommend this website sponsored by the US Department of Labor.",,Ineligible,1
Follow-up on your application to Signify Health,no-reply@us.greenhouse-mail.io,2024-10-02T11:00:00Z,"Alec-Nesat, Thank you for taking the time to apply to the Software Engineer role at Signify Health...","Alec-Nesat, Thank you for taking the time to apply to the Software Engineer role at Signify Health. We received many qualified candidates and have decided to move forward with another one that we feel is better suited to our current needs.",,Rejected,1
Thank you for applying to OKX,no-reply@us.greenhouse-mail.io,2024-10-05T13:20:00Z,"Hi Alec-Nesat, Thanks for applying to OKX for the position Software Engineer, New Grad. We are pleased...","Hi Alec-Nesat, Thanks for applying to OKX for the position Software Engineer, New Grad. We are pleased to confirm we have received your application and will contact you soon if there is a fit.",,Received,1
Application Confirmation from Signify Health,no-reply@us.greenhouse-mail.io,2024-10-06T09:30:00Z,"Alec-Nesat, Thanks for applying to Signify Health. Your application has been received...","Alec-Nesat, Thanks for applying to Signify Health. Your application has been received. Our team will follow up if there is a match for a phone screen.",,Received,1
Thank you for applying to Year Up,applications@yearup.org,2024-09-05T15:00:00Z,"Hi Alec-Nesat, Thank you for your application to the Year Up program...","Hi Alec-Nesat, Thank you for your application to the Year Up program. We are currently reviewing applications and will notify you if you advance to the next stage.",,Pending,1
Interview Scheduled with Salesforce,recruiting@salesforce.com,2024-10-10T14:00:00Z,"Hi Alec-Nesat, We’re excited to invite you to an interview for the Software Engineering role...","Hi Alec-Nesat, We’re excited to invite you to an interview for the Software Engineering role at Salesforce. Please confirm your availability and review our interview preparation materials.",,Interviewing,1
Update on Your Application Status - Year Up,noreply@yearup.org,2024-10-15T08:00:00Z,"Dear Alec-Nesat, We are writing to inform you about your application to the Year Up program...","Dear Alec-Nesat, We are writing to inform you about your application to the Year Up program. Unfortunately, we are unable to move forward with your application at this time. We encourage you to reapply in the future.",,Rejected,1
Assessment Reminder from CodeSignal,no-reply@codesignal.com,2024-11-02T17:00:00Z,"Hi Alec-Nesat, This is a reminder to complete your assessment for the Software Engineer role...","Hi Alec-Nesat, This is a reminder to complete your assessment for the Software Engineer role. You can log into CodeSignal to complete it at your convenience before the deadline.",,Assessment,1
